BenchmarkReportRange/*main.AVLRope_reportRange_changePos_240000_180000:210000-8     	1000000000	         0.003003 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_240000_30000:60000-8     	1000000000	         0.004883 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_240000_60000:90000-8     	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_240000_120000:150000-8   	1000000000	         0.003007 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_240000_180000:210000-8   	1000000000	         0.006017 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_280000_35000:70000-8       	1000000000	         0.007009 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_280000_70000:105000-8      	1000000000	         0.002013 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_280000_140000:175000-8     	1000000000	         0.004015 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_280000_210000:245000-8     	1000000000	         0.007007 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_280000_35000:70000-8     	1000000000	         0.009993 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_280000_70000:105000-8    	1000000000	         0.001000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_280000_140000:175000-8   	1000000000	         0.005020 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_280000_210000:245000-8   	1000000000	         0.003022 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_320000_40000:80000-8       	1000000000	         0.005044 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_320000_80000:120000-8      	1000000000	         0.002034 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_320000_160000:200000-8     	1000000000	         0.0005360 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_320000_240000:280000-8     	1000000000	         0.004561 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_320000_40000:80000-8     	1000000000	         0.006052 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_320000_80000:120000-8    	1000000000	         0.007565 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_320000_160000:200000-8   	1000000000	         0.006939 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_320000_240000:280000-8   	1000000000	         0.001986 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_360000_45000:90000-8       	1000000000	         0.002991 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_360000_90000:135000-8      	1000000000	         0.01005 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_360000_180000:225000-8     	1000000000	         0.004112 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_360000_270000:315000-8     	1000000000	         0.007154 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_360000_45000:90000-8     	1000000000	         0.008104 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_360000_90000:135000-8    	1000000000	         0.003017 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_360000_180000:225000-8   	1000000000	         0.005007 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_360000_270000:315000-8   	1000000000	         0.009978 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_400000_50000:100000-8      	1000000000	         0.008380 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_400000_100000:150000-8     	1000000000	         0.001999 ns/op	       0 B/op	       0 allocs/op
