BenchmarkIndex/*main.AVLRope_index_160000_at_0-8         	1000000000	         0.002018 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_20000-8     	1000000000	         0.003034 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_40000-8     	1000000000	         0.0009066 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_80000-8     	1000000000	         0.003014 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_120000-8    	1000000000	         0.0001177 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_140000-8    	1000000000	         0.007041 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_159999-8    	1000000000	         0.008186 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_const-8      	1000000000	         0.004604 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_at_0-8       	1000000000	         0.005621 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_at_20000-8   	1000000000	         0.003005 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_at_40000-8   	1000000000	         0.002023 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_at_80000-8   	1000000000	         0.002731 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_at_120000-8  	1000000000	         0.001356 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_at_140000-8  	1000000000	         0.008600 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_at_159999-8  	1000000000	         0.005015 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_const-8        	1000000000	         0.002019 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_at_0-8         	1000000000	         0.002215 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_at_25000-8     	1000000000	         0.005015 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_at_50000-8     	1000000000	         0.008958 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_at_100000-8    	1000000000	         0.005001 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_at_150000-8    	1000000000	         0.001586 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_at_175000-8    	1000000000	         0.004534 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_at_199999-8    	1000000000	         0.009818 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_200000_const-8      	1000000000	         0.004011 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_200000_at_0-8       	1000000000	         0.005097 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_200000_at_25000-8   	1000000000	         0.003005 ns/op	       0 B/op	       0 allocs/op
