BenchmarkInsert/*main.AVLRope_insert_240000_Size_10000-8     	1000000000	         0.005003 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_120000-8   	1000000000	         0.005018 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_15000-8     	1000000000	         0.006003 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_180000-8   	1000000000	         0.004997 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_20000-8     	1000000000	         0.005327 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_240000-8   	1000000000	         0.005002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_25000-8     	1000000000	         0.005003 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Start_0-8      	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Start_30000-8  	1000000000	         0.1000 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Size_5000-8    	1000000000	         0.03500 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Start_60000-8  	1000000000	         0.1842 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Size_10000-8   	1000000000	         0.07299 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Start_120000-8 	1000000000	         0.3370 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Size_15000-8   	1000000000	         0.1420 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Start_180000-8 	1000000000	         0.1500 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Size_20000-8   	1000000000	         0.2510 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Start_240000-8 	1000000000	         0.01300 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Size_25000-8   	1000000000	         0.3862 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Start_0-8        	1000000000	         0.006011 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Start_40000-8    	1000000000	         0.007037 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Size_5000-8      	1000000000	         0.007001 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Start_80000-8    	1000000000	         0.008017 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Size_10000-8     	1000000000	         0.006983 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Start_160000-8   	1000000000	         0.007018 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Size_15000-8     	1000000000	         0.007019 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Start_240000-8   	1000000000	         0.006001 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Size_20000-8     	1000000000	         0.007001 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Start_320000-8   	1000000000	         0.007018 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Size_25000-8     	1000000000	         0.008014 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Start_0-8      	1000000000	         0.01924 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Start_40000-8  	1000000000	         0.1320 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Size_5000-8    	1000000000	         0.03501 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Start_80000-8  	1000000000	         0.2047 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Size_10000-8   	1000000000	         0.09500 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Start_160000-8 	1000000000	         0.7040 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Size_15000-8   	1000000000	         0.1597 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Start_240000-8 	1000000000	         0.2000 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Size_20000-8   	1000000000	         0.2570 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Start_320000-8 	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Size_25000-8   	1000000000	         0.4031 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Start_0-8        	1000000000	         0.009016 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Start_50000-8    	1000000000	         0.009002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Size_5000-8      	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Start_100000-8   	1000000000	         0.009000 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Size_10000-8     	1000000000	         0.01002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Start_200000-8   	1000000000	         0.01003 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Size_15000-8     	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Start_300000-8   	1000000000	         0.01001 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Size_20000-8     	1000000000	         0.01002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Start_400000-8   	1000000000	         0.01002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Size_25000-8     	1000000000	         0.009000 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_400000_Start_0-8      	1000000000	         0.02800 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_400000_Start_50000-8  	1000000000	         0.1460 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_400000_Size_5000-8    	1000000000	         0.04703 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_400000_Start_100000-8 	1000000000	         0.2600 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_400000_Size_10000-8   	1000000000	         0.07703 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_400000_Size_15000-8   	1000000000	         0.1780 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_400000_Start_300000-8 	1000000000	         0.2720 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_400000_Size_20000-8   	1000000000	         0.2506 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_400000_Start_400000-8 	1000000000	         0.01700 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_400000_Size_25000-8   	1000000000	         0.4043 ns/op	       0 B/op	       0 allocs/op

BenchmarkInsert/*main.AVLRope_insert_80000_Start_0-8         	1000000000	         0.001656 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Start_10000-8     	1000000000	         0.001685 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Size_5000-8       	1000000000	         0.002018 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Start_20000-8     	1000000000	         0.002021 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Size_10000-8      	1000000000	         0.002013 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Start_40000-8     	1000000000	         0.0009926 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Size_15000-8      	1000000000	         0.002025 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Start_60000-8     	1000000000	         0.002020 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Size_20000-8      	1000000000	         0.001980 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Start_80000-8     	1000000000	         0.001996 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Size_25000-8      	1000000000	         0.002809 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Start_0-8       	1000000000	         0.008010 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Start_10000-8   	1000000000	         0.03502 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Size_5000-8     	1000000000	         0.02601 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Start_20000-8   	1000000000	         0.05799 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Size_10000-8    	1000000000	         0.06678 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Start_40000-8   	1000000000	         0.09600 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Size_15000-8    	1000000000	         0.1570 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Start_60000-8   	1000000000	         0.06700 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Size_20000-8    	1000000000	         0.2370 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Start_80000-8   	1000000000	         0.005015 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Size_25000-8    	1000000000	         0.4071 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Start_0-8        	1000000000	         0.004997 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Start_20000-8    	1000000000	         0.003011 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Size_5000-8      	1000000000	         0.003018 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Start_40000-8    	1000000000	         0.002999 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Size_10000-8     	1000000000	         0.004003 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Start_80000-8    	1000000000	         0.003007 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Size_15000-8     	1000000000	         0.003041 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Start_120000-8   	1000000000	         0.003001 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Size_20000-8     	1000000000	         0.002999 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Start_160000-8   	1000000000	         0.003017 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Size_25000-8     	1000000000	         0.004038 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Start_0-8      	1000000000	         0.01201 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Start_20000-8  	1000000000	         0.07201 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Size_5000-8    	1000000000	         0.02999 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Start_40000-8  	1000000000	         0.1260 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Size_10000-8   	1000000000	         0.08700 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Start_80000-8  	1000000000	         0.2650 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Size_15000-8   	1000000000	         0.1420 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Start_120000-8 	1000000000	         0.1192 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Size_20000-8   	1000000000	         0.2912 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Start_160000-8 	1000000000	         0.008002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Size_25000-8   	1000000000	         0.3910 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_0-8        	1000000000	         0.004003 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_30000-8    	1000000000	         0.005002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_5000-8      	1000000000	         0.007023 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_60000-8    	1000000000	         0.005002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_10000-8     	1000000000	         0.005002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_120000-8   	1000000000	         0.005021 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_15000-8     	1000000000	         0.005004 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_180000-8   	1000000000	         0.003996 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_20000-8     	1000000000	         0.005003 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_240000-8   	1000000000	         0.006018 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_25000-8     	1000000000	         0.004999 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Start_0-8      	1000000000	         0.01798 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Start_30000-8  	1000000000	         0.08299 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Size_5000-8    	1000000000	         0.03603 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Start_60000-8  	1000000000	         0.1700 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Size_10000-8   	1000000000	         0.07854 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Start_120000-8 	1000000000	         0.3406 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Size_15000-8   	1000000000	         0.1661 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Start_180000-8 	1000000000	         0.2020 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Size_20000-8   	1000000000	         0.2970 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Start_240000-8 	1000000000	         0.01400 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_240000_Size_25000-8   	1000000000	         0.3932 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Start_0-8        	1000000000	         0.006028 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Start_40000-8    	1000000000	         0.007001 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Size_5000-8      	1000000000	         0.006998 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Start_80000-8    	1000000000	         0.007014 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Size_10000-8     	1000000000	         0.007021 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Start_160000-8   	1000000000	         0.007017 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Size_15000-8     	1000000000	         0.007003 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Start_240000-8   	1000000000	         0.009997 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Size_20000-8     	1000000000	         0.007001 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Start_320000-8   	1000000000	         0.007018 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_320000_Size_25000-8     	1000000000	         0.007003 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Start_0-8      	1000000000	         0.01900 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Start_40000-8  	1000000000	         0.1341 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Size_5000-8    	1000000000	         0.04002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Start_80000-8  	1000000000	         0.2108 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Size_10000-8   	1000000000	         0.09102 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Start_160000-8 	1000000000	         0.5252 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Size_15000-8   	1000000000	         0.1460 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Start_240000-8 	1000000000	         0.2317 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Size_20000-8   	1000000000	         0.2737 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Start_320000-8 	1000000000	         0.02000 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_320000_Size_25000-8   	1000000000	         0.4200 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Start_0-8        	1000000000	         0.009019 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Start_50000-8    	1000000000	         0.009626 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Size_5000-8      	1000000000	         0.01001 ns/op	       0 B/op	       0 allocs/op
