BenchmarkReport/*main.AVLRope_report_320000-8        	1000000000	         0.01315 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_320000-8      	1000000000	         0.004087 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_360000-8        	1000000000	         0.01357 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_360000-8      	1000000000	         0.006035 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_400000-8        	1000000000	         0.01299 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_400000-8      	1000000000	         0.01419 ns/op	       0 B/op	       0 allocs/op

BenchmarkReport/*main.AVLRope_report_40000-8         	1000000000	         0.0005428 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_40000-8       	1000000000	         0.004001 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_80000-8         	1000000000	         0.002002 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_80000-8       	1000000000	         0.006001 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_120000-8        	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_120000-8      	1000000000	         0.002990 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_160000-8        	1000000000	         0.003005 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_160000-8      	1000000000	         0.006120 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_200000-8        	1000000000	         0.003020 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_200000-8      	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_240000-8        	1000000000	         0.008014 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_240000-8      	1000000000	         0.008008 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_280000-8        	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_280000-8      	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_320000-8        	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_320000-8      	1000000000	         0.006389 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_360000-8        	1000000000	         0.008999 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_360000-8      	1000000000	         0.01676 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_400000-8        	1000000000	         0.01126 ns/op	       0 B/op	       0 allocs/op
