BenchmarkDelete/*main.AVLRope_delete_changePos_120000_60000:75000-8     	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_120000_15000:105000-8      	1000000000	         0.009991 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_120000_90000:105000-8    	1000000000	         0.01040 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_120000_15000:119999-8      	1000000000	         0.01037 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_120000_105000:119999-8   	1000000000	         0.009946 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_120000_15000:30000-8     	1000000000	         0.01002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_120000_15000:30000-8   	1000000000	         0.01001 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_120000_15000:45000-8     	1000000000	         0.01157 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_120000_30000:45000-8   	1000000000	         0.01212 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_120000_15000:75000-8     	1000000000	         0.01002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_120000_60000:75000-8   	1000000000	         0.01003 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_120000_15000:105000-8    	1000000000	         0.01027 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_120000_90000:105000-8  	1000000000	         0.01033 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_120000_15000:119999-8    	1000000000	         0.02040 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_120000_105000:119999-8 	1000000000	         0.01003 ns/op	       0 B/op	       0 allocs/op
