BenchmarkDelete/*main.AVLRope_delete_160000_140000:159999-8         	1000000000	         0.002983 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_const-8               	1000000000	         0.01151 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_0:159999-8            	1000000000	         0.01252 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_0:20000-8             	1000000000	         0.009510 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_0:80000-8             	1000000000	         0.01002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_80000:159999-8        	1000000000	         0.01152 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_40000:120000-8        	1000000000	         0.01002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_160000_140000:159999-8       	1000000000	         0.009016 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_const-8                 	1000000000	         0.005000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_0:199999-8              	1000000000	         0.007031 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_0:25000-8               	1000000000	         0.005019 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_0:100000-8              	1000000000	         0.006001 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_100000:199999-8         	1000000000	         0.004002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_50000:150000-8          	1000000000	         0.004001 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_200000_175000:199999-8         	1000000000	         0.004051 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_const-8               	1000000000	         0.01400 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_0:199999-8            	1000000000	         0.01601 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_0:25000-8             	1000000000	         0.01103 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_0:100000-8            	1000000000	         0.01203 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_100000:199999-8       	1000000000	         0.01401 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_50000:150000-8        	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_200000_175000:199999-8       	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
