BenchmarkAppend/*main.GapBuffer_Append_160000_20000-8     	1000000000	         0.08270 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_160000_40000-8     	1000000000	         0.03417 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_160000_80000-8     	1000000000	         0.05325 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_160000_120000-8    	1000000000	         0.05388 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_160000_140000-8    	1000000000	         0.06651 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_160000_160000-8    	1000000000	         0.07199 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_2000-8        	1000000000	         0.04502 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_25000-8       	1000000000	         0.05237 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_50000-8       	1000000000	         0.02657 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_100000-8      	1000000000	         0.02166 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_150000-8      	1000000000	         0.01999 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_175000-8      	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_200000-8      	1000000000	         0.01501 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_2000-8      	1000000000	         0.03726 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_25000-8     	1000000000	         0.02093 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_50000-8     	1000000000	         0.02348 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_100000-8    	1000000000	         0.02973 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_150000-8    	1000000000	         0.02400 ns/op	       0 B/op	       0 allocs/op
