BenchmarkSplit/*main.AVLRope_split_200000_vary_25000-8            	1000000000	         0.005026 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_200000_vary_50000-8            	1000000000	         0.004001 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_200000_vary_100000-8           	1000000000	         0.004994 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_200000_vary_150000-8           	1000000000	         0.007024 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_200000_vary_175000-8           	1000000000	         0.006030 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_200000_const-8               	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_200000_vary_25000-8          	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_200000_vary_50000-8          	1000000000	         0.01101 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_200000_vary_100000-8         	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_200000_vary_150000-8         	1000000000	         0.009013 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_200000_vary_175000-8         	1000000000	         0.008998 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_240000_const-8                 	1000000000	         0.006000 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_240000_vary_30000-8            	1000000000	         0.006021 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_240000_vary_60000-8            	1000000000	         0.006032 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_240000_vary_120000-8           	1000000000	         0.004019 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_240000_vary_180000-8           	1000000000	         0.007003 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_240000_vary_210000-8           	1000000000	         0.006003 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_240000_const-8               	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_240000_vary_30000-8          	1000000000	         0.01300 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_240000_vary_60000-8          	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_240000_vary_120000-8         	1000000000	         0.01900 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_240000_vary_180000-8         	1000000000	         0.01400 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_240000_vary_210000-8         	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_280000_const-8                 	1000000000	         0.005992 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_280000_vary_35000-8            	1000000000	         0.009003 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_280000_vary_70000-8            	1000000000	         0.008995 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_280000_vary_140000-8           	1000000000	         0.006992 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_280000_vary_210000-8           	1000000000	         0.005017 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_280000_vary_245000-8           	1000000000	         0.007019 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_280000_const-8               	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_280000_vary_35000-8          	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_280000_vary_70000-8          	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_280000_vary_140000-8         	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_280000_vary_210000-8         	1000000000	         0.01400 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_280000_vary_245000-8         	1000000000	         0.01401 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_320000_const-8                 	1000000000	         0.009004 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_320000_vary_40000-8            	1000000000	         0.008001 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_320000_vary_80000-8            	1000000000	         0.008998 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_320000_vary_160000-8           	1000000000	         0.009174 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_320000_vary_240000-8           	1000000000	         0.009999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_320000_vary_280000-8           	1000000000	         0.008996 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_320000_const-8               	1000000000	         0.01499 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_320000_vary_40000-8          	1000000000	         0.02199 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_320000_vary_80000-8          	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_320000_vary_160000-8         	1000000000	         0.02201 ns/op	       0 B/op	       0 allocs/op
